DATE,TITLE,VOTER_NAME
4/11/2018,Councilmember,Scott  Griggs
4/11/2018,Councilmember,B. Adam  McGough
4/11/2018,Councilmember,Lee M. Kleinman
4/11/2018,Councilmember,Sandy  Greyson
4/11/2018,Councilmember,Jennifer S.  Gates
4/11/2018,Councilmember,Philip T.  Kingston
4/11/2018,Mayor,Michael S. Rawlings
4/11/2018,Deputy Mayor Pro Tem,Adam Medrano
6/13/2018,Councilmember,Mark  Clayton
6/13/2018,Councilmember,Scott  Griggs
